variant,ticker,entry_date,exit_date,success_rate,matched_signals,allocated_cash,contracts,entry_option_price,exit_option_price,entry_spot,exit_spot_close,pnl,return_pct,exit_reason
baseline_original,GEHC,2025-03-17,2025-03-18,94.70588235294117,170,4783.036114792553,22,2.174107324905706,1.9566965924151356,82.47000122070312,82.13999938964844,-478.30361147925487,-9.999999999999991,stop
baseline_original,ROP,2025-03-18,2025-03-19,92.0,50,4591.572708254152,3,15.305242360847172,16.83576659693189,576.8599853515625,577.8300170898438,459.15727082541525,10.000000000000002,tp_day1
baseline_original,ISRG,2025-03-19,2025-03-20,95.81151832460732,191,2697.6062340577932,1,26.976062340577933,29.673668574635727,492.05999755859375,491.80999755859375,269.76062340577937,10.000000000000002,tp_day1
baseline_original,ROP,2025-03-20,2025-03-21,91.8918918918919,37,4507.099836482992,3,15.023666121609972,13.521299509448975,575.4500122070312,572.1799926757812,-450.7099836482994,-10.000000000000005,stop
baseline_original,BKR,2025-03-21,2025-03-24,95.45454545454545,22,4819.769131385255,27,1.785099678290835,1.9636096461199186,44.11000061035156,44.599998474121094,481.97691313852556,10.000000000000002,tp_day1
baseline_original,VRTX,2025-03-24,2025-03-25,91.71597633136095,169,4003.008258472627,3,13.343360861575423,12.009024775417881,511.739990234375,509.0400085449219,-400.3008258472628,-10.000000000000002,stop
baseline_original,GEHC,2025-03-25,2025-03-26,94.76439790575915,191,4883.809555503005,22,2.2199134343195475,1.9979220908875928,82.45999908447266,81.0,-488.3809555503012,-10.000000000000014,stop
baseline_original,CHTR,2025-03-26,2025-03-27,88.60103626943005,193,4511.283710709754,3,15.037612369032514,16.541373605935767,384.7699890136719,382.0199890136719,451.12837107097585,10.00000000000001,tp_day1
baseline_original,INSM,2025-03-27,2025-03-28,94.73684210526315,190,4794.848074340834,13,3.688344672569872,3.319510205312885,77.69000244140625,77.98999786376953,-479.48480743408254,-9.999999999999982,stop
baseline_original,FANG,2025-03-28,2025-03-31,94.44444444444444,18,4373.70562023362,6,7.289509367056033,6.56055843035043,157.5399932861328,159.8800048828125,-437.37056202336134,-9.999999999999986,stop
baseline_original,COST,2025-03-31,2025-04-01,91.25,80,4173.2077783709965,1,41.73207778370996,45.90528556208096,945.780029296875,954.4000244140625,417.32077783709974,10.000000000000002,tp_day1
baseline_original,VRSK,2025-04-01,2025-04-02,96.07843137254902,51,4186.321400301763,6,6.977202333836272,6.279482100452644,298.6099853515625,299.7099914550781,-418.6321400301763,-10.0,stop
baseline_original,TMUS,2025-04-02,2025-04-03,100.0,14,3858.869033971423,5,7.717738067942847,8.489511874737133,264.55999755859375,267.8900146484375,385.8869033971432,10.000000000000025,tp_day1
baseline_original,VRTX,2025-04-03,2025-04-04,88.88888888888889,135,4138.640997927125,3,13.795469993090416,12.415922993781374,484.010009765625,474.6199951171875,-413.86409979271275,-10.000000000000005,stop
baseline_original,MSTR,2025-04-04,2025-04-07,87.03703703703704,54,4281.3222348814525,1,42.81322234881453,38.53190011393308,293.6099853515625,268.1400146484375,-428.132223488145,-9.999999999999993,stop
baseline_original,TMUS,2025-04-07,2025-04-08,100.0,14,3364.788663290995,3,11.215962210969984,10.094365989872985,246.6699981689453,246.3000030517578,-336.4788663290992,-9.999999999999993,stop
baseline_original,COST,2025-04-08,2025-04-09,91.17647058823529,68,3574.5789651175683,1,35.745789651175684,39.32036861629326,908.75,965.1900024414062,357.45789651175755,10.00000000000002,tp_day1
baseline_original,VRSK,2025-04-09,2025-04-10,94.11764705882352,34,3788.6584695374463,3,12.628861565124822,11.365975408612341,289.3399963378906,285.7799987792969,-378.8658469537436,-9.999999999999973,stop
baseline_original,EA,2025-04-10,2025-04-11,89.1891891891892,74,4013.116114471897,7,5.733023020674139,6.306325322741554,139.38999938964844,142.92999267578125,401.31161144719044,10.000000000000018,tp_day1
baseline_original,VRSK,2025-04-11,2025-04-14,95.65217391304348,46,3940.677189469922,3,13.135590631566405,14.449149694723047,291.8800048828125,295.1000061035156,394.06771894699204,9.999999999999996,tp_day1
baseline_original,VRTX,2025-04-14,2025-04-15,92.48826291079813,213,4219.071296874439,3,14.063570989581462,15.46992808853961,495.8299865722656,500.489990234375,421.90712968744447,10.000000000000012,tp_day1
baseline_original,TTWO,2025-04-15,2025-04-16,91.41104294478528,163,4535.69828633598,4,11.33924571583995,10.205321144255954,214.60000610351562,211.39999389648438,-453.56982863359826,-10.000000000000005,stop
baseline_original,INSM,2025-04-16,2025-04-17,84.48275862068965,58,4436.9797260692485,10,4.436979726069248,4.880677698676173,70.19999694824219,72.6500015258789,443.69797260692485,10.0,tp_day1
baseline_original,INSM,2025-04-17,2025-04-21,93.62745098039215,204,4294.837179752651,9,4.772041310836279,4.294837179752651,72.6500015258789,69.51000213623047,-429.4837179752649,-9.999999999999996,stop
baseline_original,CSX,2025-04-21,2025-04-22,88.23529411764706,17,4337.372761783384,30,1.4457909205944615,1.5903700126539078,27.459999084472656,27.780000686645508,433.7372761783399,10.000000000000036,tp_day1
baseline_original,ISRG,2025-04-22,2025-04-23,93.23308270676691,133,4179.450783242002,1,41.794507832420024,45.97395861566203,478.739990234375,487.92999267578125,417.94507832420095,10.000000000000018,tp_day1
baseline_original,TMUS,2025-04-23,2025-04-24,100.0,17,3884.8224470493396,3,12.949408156831131,14.244348972514246,259.3500061035156,262.17999267578125,388.4822447049337,9.999999999999993,tp_day1
baseline_original,LIN,2025-04-24,2025-04-28,95.23809523809523,21,2579.7497720286715,1,25.797497720286714,26.674991485450477,449.5299987792969,448.0,87.74937651637629,3.401468524886104,time_exit
baseline_original,TTWO,2025-04-25,2025-04-28,93.93939393939394,198,3952.24427681581,3,13.174147589386031,14.491562348324635,225.3800048828125,225.5500030517578,395.2244276815809,9.999999999999998,tp_day1
baseline_original,VRSK,2025-04-28,2025-04-29,95.16129032258065,62,4152.843620443915,3,13.842812068146381,15.227093274961021,288.4100036621094,292.3699951171875,415.28436204439095,9.999999999999986,tp_day1
baseline_original,VRSK,2025-04-29,2025-04-30,95.71428571428572,70,4226.661419616581,3,14.088871398721938,15.497758538594134,292.3699951171875,296.42999267578125,422.6661419616594,10.00000000000003,tp_day1
baseline_original,ROST,2025-04-30,2025-05-01,92.3076923076923,13,5200.448614560324,8,6.500560768200406,7.150616845020447,139.0,138.92999267578125,520.0448614560337,10.000000000000025,tp_day1
